Participant ID: ,"A runaway train is speeding down the tracks towards five people who will be killed if the train continues on its present course. You are standing next to the tracks, but you are too far away to warn them. Next to you there is someone else and, if this person falls to the tracks, the train will derail.If you decide to push this person onto the tracks, that will provoke the death of this person, but the train will not continue its course and you will have saved the lives of five people.Pushing the person onto the tracks is:",How certain are you about your answer?,"Imagine this situation happened and you had to decide what to do, how much distress would you feel?",Suppose we can go back in time before the pandemic had exploded world-wide. A new technology allows governments to automatically collect personal information about our movements and the people we have physical contact with. Governments can also have access to biometric data such as our temperature and respiratory frequency. This allows identifying people at risk of having COVID-19 and limiting the propagation of the virus by selecting who is quarantined and who is notThe government of the country where you live evaluates a plan to use this technology but understands that it does not protect the personal data of its citizens and decides not to approve it. Not approving the plan is:,How certain are you about your answer?,"Imagine this situation happened and you had to decide what to do, how much distress would you feel?","The near future of our societies and how we will get out of the periods of strict confinement is unclear, among 4 things because there are great unknowns in the mutation rates of the virus, its seasonal variance, the probability of being reinfected, and the degree of immunity that we will reach. Societies are likely to create a compromise between minimizing health risks and preserving our desired lifestyles.Knowing this, a government decides to forbid all kinds of public gatherings (including restaurants, bars, concerts, cinemas and theatres) until a vaccine is found. The government's decision is:",How certain are you about your answer?,"Imagine this situation happened and you had to decide what to do, how much distress would you feel?","One of your close friends has high fever and was recently tested for COVID-19. The health authorities of your country have dictated that he should remain at home, in complete isolation, until the results are back. During this period, your friend went once to the supermarket to buy food. If the authorities find out about this, your friend might face prison and have a criminal record.You still do not know whether he will test positive for COVID-19 but decided to call the police and tell the authorities about this situation. Telling the authorities about this situation is:",How certain are you about your answer?,"Imagine this situation happened and you had to decide what to do, how much distress would you feel?","Ventilators have become in many countries a limited resource and a medical bottleneck due to the COVID-19 outbreak. An ethics committee (EC) is deciding how to set priorities on who will be treated and who will not. One option is to treat people on a first-come first-serve basis. A second argument is made that significantly younger patients (under 30 years old) should be prioritized and that, even when chances of recovery are considered to be the same, the younger patient should be treated before older patients.The EC opts to implement the second option. Implementing the second option is:",How certain are you about your answer?,"Imagine this situation happened and you had to decide what to do, how much distress would you feel?","A laboratory has all the necessary resources to develop a vaccine against coronavirus in only 4 weeks. However, to do so, the researchers need to violate ethical guidelines for the use of animals in scientific research. Particularly, the experiments will cause excessive stress and pain to hundreds of rodents.The laboratory requests an exceptional permission to perform these experiments, but the government decides to reject this request. The decision made by the government is:",How certain are you about your answer?,"Imagine this situation happened and you had to decide what to do, how much distress would you feel?",It is morally right to harm an innocent person if harming her is a necessary mean to helping several 4 innocent people.,It is permissible to torture an innocent person if this would be necessary to provide information to prevent a bomb going off that would kill hundreds of people.,Sometimes it is morally necessary for innocent people to die as collateral damage—if more people are saved overall.,It is morally wrong to keep money that one doesn’t really need if one can donate it to causes that provide effective help to those who would benefit a great deal.,"If the only way to save an4 person’s life during an emergency is to sacrifice one’s own leg, then one is morally required to make this sacrifice.",It is just as wrong to fail to help someone as it is to actively harm them yourself.,"From a moral point of view, we should feel obliged to give one of our kidneys to a person with kidney failure since we don’t need two kidneys to survive, but really only one to be healthy.","If the only way to ensure the overall well-being and happiness of the people is through the use of political oppression for a short, limited period, then political oppression should be used.","From a moral perspective, people should care about the well-being of all human beings on the planet equally; they should not favor the well-being of people who are especially close to them either physically or emotionally.","Thank you for reading and answering these questions.For us, it is very important that you have paid attention during the survey and that you have seriously answered all the questions.To confirm that you have paid attention and that you have read all the information in the survey, please provide the answer “0” to the next question. This is an attentional check and it helps us verifying who has followed the instructions and who has not.Following the instructions above, which of the following cities had best responded to the COVID-19 crisis? ",Age,Sex,Ethnicity:﻿,Which category best describes your highest level of education?,"Considering the next US presidential elections, which candidate do you prefer?"
1,0,100,100,51,79,94,51,76,28,50,50,70,51,78,94,32,98,57,1,2,2,4,5,6,4,1,6,0,76,0,1,2,0
2,0,100,51,100,100,0,9,100,0,0,100,0,97,100,0,0,100,1,1,2,1,3,4,5,4,1,7,0,68,0,0,2,0
3,18,78,94,85,88,78,26,74,30,29,69,67,67,70,78,20,70,64,2,5,3,3,2,5,2,2,3,0,64,0,1,2,2
4,18,54,100,83,100,85,85,91,35,25,73,80,11,84,85,41,82,71,6,6,5,5,5,4,4,4,4,0,47,0,2,2,1
5,0,100,98,81,99,75,6,81,99,81,69,96,85,91,75,100,99,44,6,7,5,2,6,6,1,3,7,0,61,0,1,1,0
6,1,99,99,76,84,99,35,91,25,75,74,83,11,29,99,25,88,70,1,4,1,2,2,6,5,1,6,0,42,0,0,2,1
7,72,79,81,70,72,83,34,89,90,84,85,88,9,82,83,23,88,80,5,6,6,6,6,5,3,6,5,0,36,0,1,1,1
8,99,99,0,100,100,0,100,100,0,100,100,0,0,100,0,100,100,93,1,2,4,2,7,2,6,5,1,0,40,1,1,2,1
9,0,100,100,36,97,100,0,72,99,50,100,100,0,100,100,2,100,46,1,6,1,5,2,7,3,1,6,0,73,0,1,1,0
10,100,100,100,75,76,100,85,100,26,18,73,0,0,71,100,100,100,0,7,7,4,3,7,6,4,1,6,0,38,0,1,2,1
11,13,78,98,70,84,59,2,88,51,87,85,98,15,94,59,69,68,33,4,7,7,1,1,1,1,5,3,0,60,1,1,1,0
12,41,68,100,67,65,100,51,79,90,21,79,93,76,37,100,30,71,33,2,2,2,2,2,2,2,1,2,0,38,0,1,2,0
13,0,100,100,0,100,0,100,100,0,52,0,100,0,100,0,100,100,0,1,1,4,7,4,7,7,1,7,0,47,1,0,2,1
14,0,100,100,25,73,85,9,56,73,35,66,100,8,58,85,100,100,100,1,1,1,3,4,7,5,5,6,0,42,0,1,2,2
15,56,26,99,32,46,96,59,98,2,46,36,84,2,39,96,97,96,3,5,3,4,6,4,6,2,4,6,0,36,0,1,2,1
16,0,100,32,100,100,66,49,100,40,49,50,0,100,50,66,81,82,0,2,7,4,6,6,5,4,4,3,0,26,1,0,2,0
17,22,73,100,100,100,21,83,100,16,42,57,100,15,100,21,74,94,13,3,3,3,6,2,5,3,1,5,0,35,0,0,2,1
18,57,9,91,99,71,82,35,89,83,35,55,80,95,76,82,92,81,77,3,4,4,3,4,3,3,2,3,0,40,1,1,1,0
19,50,100,100,100,100,12,0,100,0,100,100,13,0,100,12,100,100,0,1,1,1,1,1,6,1,1,4,0,67,0,1,2,1
20,0,100,62,100,100,99,0,83,100,0,100,0,0,100,99,100,98,9,1,1,3,3,7,1,3,1,5,0,49,1,1,2,1
21,41,73,95,96,96,96,50,86,52,52,11,87,15,26,96,26,63,50,2,3,4,5,2,3,4,3,4,0,49,1,1,2,1
22,65,72,100,66,55,69,37,78,61,43,53,100,21,64,69,81,85,42,1,2,4,4,4,1,5,1,5,0,34,0,1,2,1
23,0,99,6,99,99,1,0,99,0,92,97,99,1,99,1,6,92,1,1,1,1,1,1,1,1,1,7,0,44,0,0,2,1
24,15,68,90,64,64,76,36,23,80,35,75,85,49,67,76,77,85,81,2,2,5,2,1,1,2,5,4,0,34,1,1,2,1
25,2,100,100,0,100,82,78,55,86,73,63,100,47,77,82,0,100,0,1,5,2,1,1,4,1,1,6,0,40,1,0,2,1
26,0,100,100,50,28,100,50,50,75,27,28,82,50,23,100,17,57,100,2,1,2,7,4,7,5,2,7,0,61,0,1,1,1
27,18,82,92,32,68,91,57,63,87,21,61,77,37,68,91,22,72,74,2,4,5,5,4,5,4,2,5,0,62,0,1,2,1
